player_id,player_name,team_code,player_role,base_minutes,base_usage,base_pir,availability_status,availability_impact,availability_source,availability_note,team_missing_minutes,team_missing_usage,role_missing_minutes,role_missing_usage,same_role_minutes_boost,cross_role_minutes_boost,minutes_penalty,net_minutes_delta,rotation_impact_score,collected_at
P012201,"MONEKE, CHIMA",RED,Forward,25.910000000000004,15.6,17.8,available,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-06T11:58:42+00:00
P012403,"FAYE, MOUHAMED",PRS,Forward,15.463333333333333,6.6,6.0,available,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-06T11:58:42+00:00
P012515,"TARPEY, TERRY",MCO,Forward,8.093333333333334,1.4,1.4,available,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-06T11:58:42+00:00
P012585,"MORGAN, MATTHEW",VIR,Guard,19.856666666666666,11.2,8.0,out,0.0,BasketStories,,36.10666666666667,16.6,36.10666666666667,16.6,6.573289209051881,0.0,10.921166666666666,-4.347877457614786,-0.21896310849159573,2026-07-06T11:58:42+00:00
P012593,"ELLIS, QUINN",MIL,Guard,20.28333333333333,5.4,4.6,available,1.0,,,46.11333333333333,23.6,20.843333333333334,9.4,4.455445550351287,1.0288922716627633,0.0,5.484337822014051,0.2703864168618267,2026-07-06T11:58:42+00:00
P012606,"WRIGHT IV, MCKINLEY",DUB,Guard,31.170833333333334,10.75,8.0,available,1.0,,,26.7125,11.0,26.7125,11.0,7,0.0,0.0,7.0,0.22456890790001335,2026-07-06T11:58:42+00:00
P012608,"SHORTS, TJ",PAN,Guard,20.490000000000002,11.4,9.0,available,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-06T11:58:42+00:00
P012609,"MALCOLM, COLLIN",HTA,Forward,21.130000000000003,5.6,5.4,available,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-06T11:58:42+00:00
P012610,"WARD, TYSON",OLY,Forward,21.23333333333333,8.8,12.6,available,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-06T11:58:42+00:00
P012611,"HERRERA, SEBASTIAN",PRS,Guard,19.53,9.2,8.4,available,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-06T11:58:42+00:00
P012613,"JANTUNEN, MIKAEL",ULK,Forward,24.416666666666664,8.2,10.6,available,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-06T11:58:42+00:00
P012618,"MASSA, BODIAN",ASV,Forward,16.92,6.0,7.8,available,1.0,,,19.25,12.4,19.25,12.4,1.2104250110603156,0.0,0.0,1.2104250110603156,0.07153812122105883,2026-07-06T11:58:42+00:00
P012640,"HIFI, NADIR",PRS,Forward,22.453333333333333,19.0,17.6,available,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-06T11:58:42+00:00
P012687,"NIANG, SALIOU",VIR,Forward,21.404166666666665,6.75,10.0,available,1.0,,,36.10666666666667,16.6,0.0,0.0,0.0,0.4849909702611303,0.0,0.4849909702611303,0.02265871770735279,2026-07-06T11:58:42+00:00
P012710,"OSMANI, ERCAN",IST,Forward,30.243333333333332,13.8,14.6,available,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-06T11:58:42+00:00
P012712,"HERNANGOMEZ, JUANCHO",PAN,Forward,30.356666666666666,8.6,16.0,available,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-06T11:58:42+00:00
P012720,"BROWN, STERLING",PAR,Forward,25.523333333333333,12.2,12.2,available,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-06T11:58:42+00:00
P012731,"NDIAYE, MBAYE",ASV,Center,20.07,5.2,8.0,available,1.0,,,19.25,12.4,0.0,0.0,0.0,1.54,0.0,1.54,0.07673143996013951,2026-07-06T11:58:42+00:00
P012738,"REUVERS, NATHAN",PAM,Forward,15.656666666666666,7.6,6.6,available,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-06T11:58:42+00:00
P012742,"DOZIER, PJ",IST,Guard,13.51,5.4,7.8,available,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-06T11:58:42+00:00
P012774,"NUNN, KENDRICK",PAN,Guard,30.133333333333333,18.0,16.6,available,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-06T11:58:42+00:00
P012788,"OTURU, DAN",HTA,Center,21.10333333333333,10.6,17.6,available,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-06T11:58:42+00:00
P012795,"ANDERSON, JUSTIN",DUB,Forward,20.55,5.4,7.2,available,1.0,,,26.7125,11.0,0.0,0.0,0.0,0.36689547458807154,0.0,0.36689547458807154,0.017853794383847762,2026-07-06T11:58:42+00:00
P012796,"KABENGELE, MFIONDU",DUB,Forward,18.104166666666664,11.5,17.5,available,1.0,,,26.7125,11.0,0.0,0.0,0.0,0.3232280691575772,0.0,0.3232280691575772,0.017853794383847765,2026-07-06T11:58:42+00:00
P012878,"WRIGHT, MOSES",ZAL,Forward,18.953333333333333,9.0,16.6,available,1.0,TalkBasket,"Zalgiris parts ways with Wright, Brazdeikis and Birutis",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-06T11:58:42+00:00
P013269,"CALE, MYLES",BAR,Forward,15.899999999999999,3.25,3.25,available,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-06T11:58:42+00:00
P013284,"WAINRIGHT, ISH",HTA,Forward,27.433333333333334,6.666666666666667,9.666666666666666,available,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-06T11:58:42+00:00
P013289,"SANTOS, MARCIO",TEL,Forward,13.463333333333333,8.0,6.0,available,1.0,,,16.303333333333335,8.2,0.0,0.0,0.0,0.1258434597039408,0.0,0.1258434597039408,0.009347125008958219,2026-07-06T11:58:42+00:00
P013290,"JESSUP, JUSTINIAN",MUN,Forward,16.854166666666664,6.25,7.5,available,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-06T11:58:42+00:00
P013363,"NWORA, JORDAN",RED,Forward,21.926666666666666,13.2,11.8,available,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-06T11:58:42+00:00
P013367,"FORREST, TRENT",BAS,Guard,26.93333333333333,13.2,16.8,available,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-06T11:58:42+00:00
P013371,"HARRISON, SHAQUILLE",ASV,Forward,16.586666666666666,5.0,4.8,available,1.0,,,19.25,12.4,19.25,12.4,1.1865789706532959,0.0,0.0,1.1865789706532959,0.07153812122105883,2026-07-06T11:58:42+00:00
P013373,"CAVALIERE, LEOPOLD",PRS,Forward,11.99,2.6,2.4,available,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-06T11:58:42+00:00
P013374,"DIOUF, MOUHAMET",VIR,Forward,12.046666666666667,5.2,3.6,available,1.0,,,36.10666666666667,16.6,0.0,0.0,0.0,0.2729620193145766,0.0,0.2729620193145766,0.02265871770735279,2026-07-06T11:58:42+00:00
P013378,"RATHAN-MAYES, XAVIER",MUN,Guard,15.313333333333333,10.4,6.6,available,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-06T11:58:42+00:00
P013380,"FOURNIER, EVAN",OLY,Guard,22.65,14.6,12.2,available,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-06T11:58:42+00:00
P013381,"RAYMAN, WILLIAM",TEL,Forward,10.766666666666666,2.4,1.0,available,1.0,,,16.303333333333335,8.2,0.0,0.0,0.0,0.10063737926311682,0.0,0.10063737926311682,0.009347125008958219,2026-07-06T11:58:42+00:00
P013383,"GABRIEL, WENYEN",MUN,Center,17.333333333333332,6.2,7.2,available,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-06T11:58:42+00:00
P013384,"BROOKS, ARMONI",MIL,Forward,18.14666666666667,9.6,8.6,available,1.0,,,46.11333333333333,23.6,25.27,14.2,2.490381862850739,0.3912628133844805,0.0,2.8816446762352195,0.1587974656264816,2026-07-06T11:58:42+00:00
P013386,"MCCORMACK, DAVID",MUN,Forward,12.816666666666666,4.4,3.6,available,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-06T11:58:42+00:00
P013389,"LEE, SABEN",OLY,Guard,19.793333333333333,6.4,4.4,available,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-06T11:58:42+00:00
P013402,"BLAKENEY, ANTONIO",HTA,Forward,20.288888888888888,16.0,16.0,available,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-06T11:58:42+00:00
P013403,"WALKER IV, LONNIE",TEL,Forward,24.130000000000003,16.6,12.8,available,1.0,,,16.303333333333335,8.2,0.0,0.0,0.0,0.22554612646616187,0.0,0.22554612646616187,0.00934712500895822,2026-07-06T11:58:42+00:00
P013667,"FERNANDO, BRUNO",PAR,Forward,16.006666666666668,5.8,8.4,available,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-06T11:58:42+00:00
P013699,"CLARK III, JIMMY",TEL,Guard,18.05,8.4,8.8,available,1.0,,,16.303333333333335,8.2,0.0,0.0,0.0,0.6456352500228539,0.0,0.6456352500228539,0.03576926592924398,2026-07-06T11:58:42+00:00
